station_id,name,location,state
02361000,"Choctawhatchee River Near Newton, AL",Choctawhatchee River Near Newton,AL
02374700,"Murder Creek At State Hwy 41 At Brewton, AL",Murder Creek At State Hwy 41 At Brewton,AL
02378325,"Magnolia R. Above Weeks Creek, AL",Magnolia R. Above Weeks Creek,AL
02378530,"Polecat Creek At County Road 9 Near Marlow, AL",Polecat Creek At County Road 9 Near Marlow,AL
0237854625,"Fish River Below Marlow, AL",Fish River Below Marlow,AL
0237854750,"Waterhole Branch Near Turkey Branch, AL",Waterhole Branch Near Turkey Branch,AL
02378548,"Waterhole Branch Near Magnolia Springs, AL",Waterhole Branch Near Magnolia Springs,AL
02378550,"Fish River Near Magnolia Springs, AL",Fish River Near Magnolia Springs,AL
02378780,"D'Olive Creek Near Bridgehead, AL",D'Olive Creek Near Bridgehead,AL
02397530,"Coosa River At State Line, AL",Coosa River At State Line,AL
02400100,"Terrapin Creek At Ellisville Al, AL",Terrapin Creek At Ellisville Al,AL
02403170,"Shoal Creek Near Heflin, AL",Shoal Creek Near Heflin,AL
02404400,"Choccolocco Creek At Jackson Shoal Nr Lincoln Al, AL",Choccolocco Creek At Jackson Shoal Nr Lincoln Al,AL
02408540,"Hatchet Creek Below Rockford Al, AL",Hatchet Creek Below Rockford Al,AL
02412000,"Tallapoosa River Near Heflin, AL",Tallapoosa River Near Heflin,AL
02416360,"Little Sandy Creek At Camp Hill, AL",Little Sandy Creek At Camp Hill,AL
02418500,"Tallapoosa River Below Tallassee Al, AL",Tallapoosa River Below Tallassee Al,AL
02419305,"Tallapoosa River Nr Tuskegee, AL",Tallapoosa River Nr Tuskegee,AL
02419640,"Calebee Creek Nr Shorter, AL",Calebee Creek Nr Shorter,AL
02419670,"Cubahatchee Creek At Us 80 Near Shorter, AL",Cubahatchee Creek At Us 80 Near Shorter,AL
02419700,"Goodwater Creek Near Ware, AL",Goodwater Creek Near Ware,AL
02419800,"Line Creek (Oakfuskee Creek) Near Shorter, AL",Line Creek (Oakfuskee Creek) Near Shorter,AL
02419840,"Chubbehatchee Creek Near Ware Al, AL",Chubbehatchee Creek Near Ware Al,AL
02419865,"Brensen Branch Near Ware, AL",Brensen Branch Near Ware,AL
